T1,T2,T3,T4
100.1641,29.0,963.0,30.1
99.2396,29.0,963.0,30.1
99.0454,29.0,963.0,30.1
98.0234,29.0,963.0,30.1
98.6876,28.0,962.9,30.2
99.0723,28.0,962.9,30.2
100.8228,28.0,962.9,30.2
99.6208,28.0,962.9,30.2
99.3875,28.0,962.9,30.2
99.96201,28.0,962.9,30.2
101.7205,28.0,962.9,30.2
104.3634,28.0,962.9,30.2
104.3808,28.0,962.9,30.2
105.1722,28.0,962.9,30.2
105.1079,29.0,962.8,30.3
104.9432,29.0,962.8,30.3
104.5575,29.0,962.8,30.3
105.0754,29.0,962.8,30.3
105.6915,29.0,962.8,30.3
104.0532,29.0,962.8,30.3
104.0196,29.0,962.8,30.3
103.4253,29.0,962.8,30.3
103.3972,29.0,962.8,30.3
101.3209,29.0,962.8,30.3
100.7208,29.0,962.8,30.5
101.3446,29.0,962.8,30.5
102.2088,29.0,962.8,30.5
100.7148,29.0,962.8,30.5
99.7544,29.0,962.8,30.5
99.7105,29.0,962.8,30.5
97.4959,29.0,962.8,30.5
96.5178,29.0,962.8,30.5
95.3474,29.0,962.8,30.5
95.6095,29.0,962.8,30.5
97.21481,30.0,962.6,29.8
99.6808,30.0,962.6,29.8
98.9544,30.0,962.6,29.8
99.4775,30.0,962.6,29.8
98.7066,30.0,962.6,29.8
99.9946,30.0,962.6,29.8
101.8128,30.0,962.6,29.8
101.2137,30.0,962.6,29.8
100.3793,30.0,962.6,29.8
100.4626,30.0,962.6,29.8
100.7236,30.0,962.6,30.2
99.2247,30.0,962.6,30.2
98.8198,30.0,962.6,30.2
97.0485,30.0,962.6,30.2
97.3078,30.0,962.6,30.2
96.7084,30.0,962.6,30.2
99.4839,30.0,962.6,30.2
102.271,30.0,962.6,30.2
100.9034,30.0,962.6,30.2
100.0706,30.0,962.6,30.2
99.8718,31.0,962.4,29.8
100.2011,31.0,962.4,29.8
100.8627,31.0,962.4,29.8
101.7169,31.0,962.4,29.8
100.0714,31.0,962.4,29.8
97.9822,31.0,962.4,29.8
99.83559,31.0,962.4,29.8
99.6373,31.0,962.4,29.8
97.034,31.0,962.4,29.8
97.95551,31.0,962.4,29.8
97.9309,31.0,962.3,30.7
99.1068,31.0,962.3,30.7
99.8659,31.0,962.3,30.7
101.5559,31.0,962.3,30.7
101.2549,31.0,962.3,30.7
99.1993,31.0,962.3,30.7
100.6682,31.0,962.3,30.7
101.5238,31.0,962.3,30.7
102.9266,31.0,962.3,30.7
102.9595,31.0,962.3,30.7
102.5574,32.0,962.2,30.1
102.1795,32.0,962.2,30.1
100.9061,32.0,962.2,30.1
102.3434,32.0,962.2,30.1
103.6946,32.0,962.2,30.1
103.6798,32.0,962.2,30.1
103.0612,32.0,962.2,30.1
103.0138,32.0,962.2,30.1
102.5635,32.0,962.2,30.1
101.5866,32.0,962.2,30.1
102.6167,32.0,962.1,29.8
101.579,32.0,962.1,29.8
98.8063,32.0,962.1,29.8
101.1635,32.0,962.1,29.8
99.6497,32.0,962.1,29.8
101.1682,32.0,962.1,29.8
100.5712,32.0,962.1,29.8
100.5609,32.0,962.1,29.8
100.7486,32.0,962.1,29.8
100.6689,32.0,962.1,29.8
100.8972,32.0,962.1,30.2
100.7087,32.0,962.1,30.2
98.2618,32.0,962.1,30.2
98.39429,32.0,962.1,30.2
100.6034,32.0,962.1,30.2
101.5968,32.0,962.1,30.2
103.0068,32.0,962.1,30.2
103.9552,32.0,962.1,30.2
103.0095,32.0,962.1,30.2
102.4391,32.0,962.1,30.2
100.2125,32.0,961.9,30.3
101.5863,32.0,961.9,30.3
102.7538,32.0,961.9,30.3
102.8459,32.0,961.9,30.3
103.22,32.0,961.9,30.3
104.6259,32.0,961.9,30.3
103.0333,32.0,961.9,30.3
102.6925,32.0,961.9,30.3
100.9934,32.0,961.9,30.3
102.0448,32.0,961.9,30.3
103.2066,32.0,961.9,30.1
101.9849,32.0,961.9,30.1
103.6403,32.0,961.9,30.1
102.1391,32.0,961.9,30.1
103.6152,32.0,961.9,30.1
101.4383,32.0,961.9,30.1
99.222,32.0,961.9,30.1
99.5536,32.0,961.9,30.1
101.1746,32.0,961.9,30.1
99.77731,32.0,961.9,30.1
99.0625,32.0,961.9,30.1
98.9308,32.0,961.9,30.1
99.4982,32.0,961.9,30.1
98.0356,32.0,961.9,30.1
98.244,32.0,961.9,30.1
99.7013,32.0,961.9,30.1
99.7107,32.0,961.9,30.1
98.6791,32.0,961.9,30.1
97.3916,32.0,961.9,30.1
97.5126,32.0,961.9,30.1
98.4443,32.0,961.8,30.2
101.0139,32.0,961.8,30.2
101.3677,32.0,961.8,30.2
